Sector,Test_Return[%],Test_Sharpe,Test_MaxDD[%],Test_Trades
Technology,33.50630373143799,0.03623268844580167,-43.80800921880358,36.392857142857146
Consumer Staples,8.709515462836547,0.03134645280859182,-26.763677602075713,42.3125
Financials,8.406002329467531,-0.06762339632849936,-43.63232022876948,40.96875
Healthcare,4.6363621029728215,-0.0686669853905775,-34.99472461507231,38.21938775510204
Consumer Discretionary,8.197166049246068,-0.09005343498417259,-44.68614555581827,37.69047619047619
Utilities,-6.136745465424389,-0.09298718901489346,-36.91833604886042,40.94642857142857
Real Estate,-11.156514299477696,-0.1652203620039376,-46.327917823732484,43.464285714285715
Energy,-16.691907103851108,-0.20631492730533915,-47.14963537077666,40.964285714285715
Industrials,-17.755456924604992,-0.23842878274020823,-47.10877345046338,40.72857142857143
Communication Services,-17.745281717845387,-0.29414857576146664,-54.429880470708106,40.404761904761905
